BJD	BJD0	Porb	E	O-C (days)	err.	source
2459343.113510 	2451659.481968 	0.41695902	18428	-0.08927856	0.00049	TESS
2459343.518570 	2451659.481968 	0.41695902	18429	-0.10117758	0.00037	TESS
2459343.951710 	2451659.481968 	0.41695902	18430	-0.0849966	0.00055	TESS
2459344.363520 	2451659.481968 	0.41695902	18431	-0.09014562	0.00058	TESS
2459344.782950 	2451659.481968 	0.41695902	18432	-0.08767464	0.00049	TESS
2459345.205420 	2451659.481968 	0.41695902	18433	-0.08216366	0.00076	TESS
2459345.621260 	2451659.481968 	0.41695902	18434	-0.08328268	0.00112	TESS
2459346.024340 	2451659.481968 	0.41695902	18435	-0.0971617	0.00055	TESS
2459347.690820 	2451659.481968 	0.41695902	18439	-0.09851778	0.00093	TESS
2459348.119120 	2451659.481968 	0.41695902	18440	-0.0871768	0.0009	TESS
2459348.533780 	2451659.481968 	0.41695902	18441	-0.08947582	0.00068	TESS
2459348.944830 	2451659.481968 	0.41695902	18442	-0.09538484	0.00074	TESS
2459349.360140 	2451659.481968 	0.41695902	18443	-0.09703386	0.00061	TESS
2459349.792870 	2451659.481968 	0.41695902	18444	-0.08126288	0.00086	TESS
2459350.192580 	2451659.481968 	0.41695902	18445	-0.0985119	0.00064	TESS
2459350.607150 	2451659.481968 	0.41695902	18446	-0.10090092	0.00047	TESS
2459351.023740 	2451659.481968 	0.41695902	18447	-0.10126994	0.00054	TESS
2459351.441710 	2451659.481968 	0.41695902	18448	-0.10025896	0.00054	TESS
2459351.868890 	2451659.481968 	0.41695902	18449	-0.09003798	0.00054	TESS
2459352.281670 	2451659.481968 	0.41695902	18450	-0.094217	0.00052	TESS
2459352.697130 	2451659.481968 	0.41695902	18451	-0.09571602	0.00053	TESS
2459353.123070 	2451659.481968 	0.41695902	18452	-0.08673504	0.00047	TESS
2459353.519190 	2451659.481968 	0.41695902	18453	-0.10757406	0.00045	TESS
2459353.961260 	2451659.481968 	0.41695902	18454	-0.08246308	0.0006	TESS
2459354.357400 	2451659.481968 	0.41695902	18455	-0.1032821	0.00064	TESS
2459354.791410 	2451659.481968 	0.41695902	18456	-0.08623112	0.00054	TESS
2459355.201790 	2451659.481968 	0.41695902	18457	-0.09281014	0.00053	TESS
2459355.606940 	2451659.481968 	0.41695902	18458	-0.10461916	0.00051	TESS
2459356.041230 	2451659.481968 	0.41695902	18459	-0.08728818	0.00059	TESS
2459356.459210 	2451659.481968 	0.41695902	18460	-0.0862672	0.00062	TESS
2459356.869080 	2451659.481968 	0.41695902	18461	-0.09335622	0.00058	TESS
2459357.277590 	2451659.481968 	0.41695902	18462	-0.10180524	0.00052	TESS
2459357.701850 	2451659.481968 	0.41695902	18463	-0.09450426	0.00063	TESS
2459357.702222 	2451659.481968 	0.41695902	18463	-0.09413226	0.00061	AAVSO
2459358.120410 	2451659.481968 	0.41695902	18464	-0.09290328	0.0006	TESS
2459358.516750 	2451659.481968 	0.41695902	18465	-0.1135223	0.00066	TESS
2459358.954390 	2451659.481968 	0.41695902	18466	-0.09284132	0.00067	TESS
2459359.388310 	2451659.481968 	0.41695902	18467	-0.07588034	0.00051	TESS
2459359.783700 	2451659.481968 	0.41695902	18468	-0.09744936	0.00065	TESS
2459360.205770 	2451659.481968 	0.41695902	18469	-0.09233838	0.0005	TESS
2459365.616190 	2451659.481968 	0.41695902	18482	-0.10238564	0.00146	AAVSO
2459366.481411 	2451659.481968 	0.41695902	18484	-0.07108268	0.0012	AAVSO
2459385.637571 	2451659.481968 	0.41695902	18530	-0.0950376	0.00191	AAVSO
2459393.569236 	2451659.481968 	0.41695902	18549	-0.08559398	0.00052	AAVSO
2459396.491668 	2451659.481968 	0.41695902	18556	-0.08187512	0.00351	AAVSO
2459413.580753 	2451659.481968 	0.41695902	18597	-0.08810994	0.00109	AAVSO

